ORISPL_CODE,UNITID,NAME,STATE,FUEL,GAS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
525,H2,Hayden,CO,coal,NOX,8094700.713,8928112.26,7819423.123,7305996.679,7962384.056,8311983.441,7384023.717,6764937.347,7303597.546,7153806.486,5096239.605,5674196.912,6259030.257,5312670.678,5468756.717,2417650.964,519448.976,80690.534
525,H2,Hayden,CO,coal,gen,2233655.2,2289726.89,2320821.03,2135452.01,2280612.06,2378408.89,2246775.1,2091091.34,2223536.67,2196444.98,1591882.1,1773222.79,1978931.55,1954302.04,2013568.14,1462241.37,1230550.14,175226
527,1,Nucla,CO,coal,CO2,869056.7,922996.624,842991.308,949188.512,957535.756,951296.856,885587.86,884089.135,835067.853,627183.064,791514.027,736317.264,492296.332,566900.261,593806.488,338683.595,136209.026,
527,1,Nucla,CO,coal,SO2,2842590.725,2973832.292,2267413.575,2626868.511,2803072.005,3018941.971,2460910.38,2531341.088,2342009.371,1854180.699,2407880.381,2271891.094,1612994.655,1862657.4,1956694.584,879087.447,306623.892,
527,1,Nucla,CO,coal,NOX,2349876.525,2665006.698,2912802.987,3476035.573,3843434.878,3502209.199,3578858.582,3476255.994,3279915.713,2342119.819,2569950.937,2108743.884,1532963.964,1528314.574,1904474.364,997297.388,424281.268,
527,1,Nucla,CO,coal,gen,739251.25,786431.98,715519.74,833449.18,824379.21,823158.67,774124.18,776421.28,728707.06,545192.94,671021.64,628041.18,414741.16,468195.74,462616.01,248712.09,101250.09,
2187,2,J E Corette,MT,coal,CO2,1161003.778,1331694.249,1518550.901,1514121.948,1268273.65,1528248.504,1522727.733,1236843.563,1305245.753,1157635.584,999053.764,864369.45,1080049.273,687763.242,184426.665,,,
2187,2,J E Corette,MT,coal,SO2,5382876.208,6270434.167,7409233.866,7168941.361,5748973.224,6946655.282,6952700.352,5634337.228,5663494.446,5038788.447,4634693.912,3901922.108,4580150.704,3240145.91,870462.62,,,
2187,2,J E Corette,MT,coal,NOX,2770521.07,3405940.856,4394526.003,4133330.203,3311015.489,3836511.724,3628851.787,3316568.45,3282191.532,3149664.666,2488638.202,2311368.008,2964217.156,1728752.959,468384.602,,,
2187,2,J E Corette,MT,coal,gen,1078262.3,1193251.97,1325286.72,1252998.31,1069128.07,1275784.3,1257002.02,1086476.95,1141292.45,1025596.51,887572.77,765068.06,968292.57,622023.81,164196.25,,,
2324,1,Reid Gardner,NV,coal,CO2,790945.225,956355.5,1031866.375,933887.125,974563.2,934613.125,732649.613,671618.375,645539.881,631645.004,569219.712,165123.766,281282.661,727266.477,,,,
2324,1,Reid Gardner,NV,coal,SO2,1175012.85,985654.15,1499257.325,430036.075,373740.05,494748.95,265206.283,274796.325,344471.089,401026.056,551125.12,124494.358,188518.504,3004863.645,,,,
2324,1,Reid Gardner,NV,coal,NOX,3305886.628,4442788.879,4625027.696,3542623.306,3561167.485,3327372.239,2825865.418,2681578.066,1995401.898,1713265.968,1354064.363,373558.664,682337.463,2639518.63,,,,
2324,1,Reid Gardner,NV,coal,gen,762700.5,875856.5,920615.75,809274.5,812942,784014.5,650023.58,654890.75,628450.17,614359.76,528139.23,149250.96,257981.47,639070.3,,,,
2324,2,Reid Gardner,NV,coal,CO2,905106.5,1099225.125,1034507.45,1165347.875,961731.95,1058480.3,1006144.987,821436.4,572183.116,699408.549,546329.064,86612.124,278171.89,648112.018,,,,
2324,2,Reid Gardner,NV,coal,SO2,872570.5,508927.275,1055396.475,537832,448043.075,498287.125,377933.384,244392.95,307443.478,438125.89,523519.373,40289.85,188100.432,531468.13,,,,
2324,2,Reid Gardner,NV,coal,NOX,3894225.243,5008302.012,4772557.263,4571186.182,3722180.361,4107177.589,3904613.48,3212086.695,1898575.677,2091922.6,1338811.165,214621.6,640911.517,1681767.263,,,,
2324,2,Reid Gardner,NV,coal,gen,779687.5,892176.25,825431,866015.5,703926,769260,842906.92,748002,513150.52,630407.48,487132.83,74666.44,249159.59,582067.89,,,,
2324,3,Reid Gardner,NV,coal,CO2,995970.75,1014028.35,1010949.55,1041993.65,1031675.975,943402.9,840818.131,841931.635,783836.415,828066.339,592630.835,143464.672,235003.124,459477.399,,,,
2324,3,Reid Gardner,NV,coal,SO2,1143469.075,545889.75,1038308.925,470568.2,540775.825,391516.325,283208.231,321587.577,442540.87,486137.316,590590.311,80327.297,117002.843,504749.958,,,,
